Product,Price(EUR),Weight(kg)
apple,3.4,3.33
orange,3.51,11.24
carrot,1.93,15.19
juice,4.94,13.41
chocolate,3.29,6.61
oil,2.29,12.68
cookies,4.45,5.15
flour,0.68,6.98
sugar,3.93,14.92
eggs,5.25,4.36
butter,4.5,15.67
milk,3.79,2.39
cheese,2.63,1.3
rice,3.8,15.93
water,1.65,15.03
chips,1.38,9.79
sausage,2.92,15.4
pear,4.82,12.3
peach,2.59,6.76
lemon,4.98,7.87
grape,0.61,5.34
onion,3.04,6.21
garlic,3.18,3.37
banana,2.93,9.83
cucumber,2.31,9.59
radish,2.53,7.16
tomato,3.95,14.08
chicken,0.82,8.21
potato,2.52,5.21
bread,0.82,13.47
